,decade,variable,value
250,81-90,shannon,1.817294943
251,81-90,shannon,1.774995162
252,81-90,shannon,2.468352576
253,81-90,shannon,2.465506754
254,81-90,shannon,2.81384316
255,81-90,shannon,2.514105397
256,81-90,shannon,1.823790907
257,81-90,shannon,2.090862221
258,81-90,shannon,2.086006138
259,81-90,shannon,2.481112466
260,81-90,shannon,2.242445258
261,81-90,shannon,3.074723002
262,81-90,shannon,3.307596237
263,81-90,shannon,2.910367393
264,81-90,shannon,2.100838218
265,81-90,shannon,3.390464559
266,81-90,shannon,1.828844695
267,81-90,shannon,3.444010786
268,81-90,shannon,2.023449888
269,81-90,shannon,2.764929938
270,81-90,shannon,3.114792274
271,81-90,shannon,1.197187138
272,81-90,shannon,2.661046668
273,81-90,shannon,1.342371796
274,81-90,shannon,3.106359379
275,81-90,shannon,2.20827301
276,81-90,shannon,3.000022451
277,81-90,shannon,2.360206672
278,81-90,shannon,2.535917863
279,81-90,shannon,2.954597019
280,81-90,shannon,2.192381359
281,81-90,shannon,0.857905627
282,81-90,shannon,2.687588637
283,81-90,shannon,2.857380999
284,81-90,shannon,2.374086937
285,81-90,shannon,2.513136829
286,81-90,shannon,2.129957443
287,81-90,shannon,2.944060709
288,81-90,shannon,3.03199661
289,81-90,shannon,3.595543045
290,81-90,shannon,2.870353992
291,81-90,shannon,2.853861069
292,81-90,shannon,3.190035097
293,81-90,shannon,2.67574688
294,81-90,shannon,2.431884704
295,81-90,shannon,3.196962304
296,81-90,shannon,2.44384628
297,81-90,shannon,2.301336259
298,81-90,shannon,2.057542119
299,81-90,shannon,0.317387674
300,81-90,shannon,2.539398183
301,81-90,shannon,2.509471809
302,81-90,shannon,2.325249395
303,81-90,shannon,0.274264048
304,81-90,shannon,2.454426239
305,81-90,shannon,2.838346517
306,81-90,shannon,1.346176695
307,81-90,shannon,2.655819649
308,81-90,shannon,2.879645528
309,81-90,shannon,2.137677313
310,81-90,shannon,3.19592586
311,81-90,shannon,3.227553485
312,81-90,shannon,2.009000606
313,81-90,shannon,2.306844419
314,81-90,shannon,2.533615422
315,81-90,shannon,2.597649601
316,81-90,shannon,1.183369392
317,81-90,shannon,2.798267829
318,81-90,shannon,2.775912613
319,81-90,shannon,2.653982356
320,81-90,shannon,3.047225135
321,81-90,shannon,2.981217139
322,81-90,shannon,3.067091143
323,81-90,shannon,2.262044847
324,81-90,shannon,2.767679687
325,81-90,shannon,2.555652031
326,81-90,shannon,2.668860899
327,81-90,shannon,2.751633957
328,81-90,shannon,2.930224193
329,81-90,shannon,2.298049473
330,81-90,shannon,2.521377471
331,81-90,shannon,2.8200134
332,81-90,shannon,2.221491508
333,81-90,shannon,2.371650536
334,81-90,shannon,2.831408072
335,81-90,shannon,2.062854247
336,81-90,shannon,2.609624868
337,81-90,shannon,2.218762526
338,81-90,shannon,2.911504049
339,81-90,shannon,2.261613534
340,81-90,shannon,2.230208462
341,81-90,shannon,3.004430372
342,81-90,shannon,3.053817079
343,81-90,shannon,2.994388284
