"","Index","MBH043","MBH060","MBH068","MBH069","MBH078","MBH089","MBH094","MBH095","MBS1115","MBS1116","MBS1123","MBS1124","MBS1141","MBS1150","MBS1151","MBS1152","MBS1159","MBS1160","MBS1163","MBS1168","MBS1169","MHH256","MHH257","MHH260","MHH263","MHH264","MHH265","MHH266","MHH335","MHH336","MHH343","MHH344","MHH346","MHH347","MHH348","MHH351","MHH352","MHH356","MHH357","MHH358","MHH359","MHH366","MHH369","MHH370","MHH372","MHH373","MHH374","MHH375","MHH376","MHH380","MHH381","MHH383","MHH384","MHH392","MHH393","MHH394","MHH395","MHH396","MHH520","MHH540","MHH545","MHH552","MHH553","MHH554","MHH563","MHH564","MHH565","MHH566","MHH567","MHH573","MHH574","MHH589","MHH590","MHH592","MHH594","MHH595","MHH596","MHH597","MHH607","MHH616","MHH617","MHH619","MHH621","MHH622","MHH623","MHH624","MHS119","MHS120","MHS124","MHS127","MHS132","MHS136","MHS137","MHS138","MHS141","MHS142"
"11","g__Dorea",1.25099658981194,1.27529445459352,0.799901840717301,1.14300534610609,0.124540578725979,2.2621324134326,0,1.95386407404701,0.354335113738184,0.773933422311526,0,3.45352379671022,1.55003841602181,1.18368116253131,0,0.617792280703733,0,1.89702367488918,1.54746929865532,2.84232898992376,2.51705540880868,0.36651381386052,0.727998847340189,0.71437908766819,3.66070175480927,2.29133911073688,0.124762703713394,5.03201002551765,1.3209616580761,2.37415411034276,0.658173361339427,0.696575096042411,0.710435135477309,1.27286453100424,0,3.42896754354154,2.11699766052905,0,5.63583695818604,0.380705508428594,4.43274314047405,1.08581112235116,0.919230364208024,0,0.491381406770696,0.771992477403093,1.30987175483919,1.06147143115607,0.270715125409936,0.160918110416451,0.870601205396577,0.777067856986396,1.15167567539316,0.615987115098656,0,1.60296361527669,0.8224998244518,2.36048711362569,0,0.794503867664683,0.354406337226684,0.818733926566292,0.936970232288926,0.984694482926866,0.253429206745824,0.380288195532261,0,0.359178028640879,0,0.328602385490242,4.15131554951374,0,2.33349449356926,0.333296491298581,0.435125714279962,0.163992375406357,0.319080416506183,0,0.516654106825932,0,0,0.938010709250114,0.682230967915437,0.309042342204233,0.797744514395067,1.99127936061381,0.579803472091115,0.418057490356437,2.16409226538473,1.96628355876575,0,0.107385516524637,0.802356342982879,0,0,0.594136140731335
"12","g__Klebsiella",1.20237459085046,1.75399623772297,0,2.22734139907056,0,0.291752843547387,0,0,0.331022402620674,0,0.725158062659724,0.836678549259769,0,0,0,0,0,0,0.314941396655357,0,4.73619584052759,0.168897186507599,0,0.579927176248818,0,0,0,1.65310746869064,0,0.23493190837213,0,0,0,0,0,0,0.815504307449786,0,2.076824812121,0,0.230392682474927,0.245507634920028,0,1.56793565990144,0.139773752054927,0,0.327365025306657,0.406652997923138,0,0,0,0,0,0.223929421762972,0.110188078537865,0,0,0,0.148696658113962,0.134527467247114,0,0,0,0.295848511702293,4.45349858363048,0.711710238817967,0,0,2.46198689662246,0,0.49489657429363,0,0,0,0,0,0,0.120448500341199,0,28.6512954791168,0.320758338332916,0,1.74258494772988,0,0.666757889136167,0,1.65805941131894,0.226807001993794,4.17438143248736,0,0,0.532421262130647,0.799792390208274,0.269872645837248,0,0
"13","g__Sutterellaceae unclassified",1.07561692875573,0.318665226330951,0,0,0,2.26299892622943,0,0,0,0,0,0,0.197128094105312,0,0,0,0,0,0,0,0,0.140428439105409,0.10918875931304,0,0,0,0,0,0,0,0,0,0,0.120548136809324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152684699257304,0.244777445677368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232949380029463,0,0,0,0,0,0,0,0,0.153234966554886,0.473781929034245,0,0,0,0,0.149998428836483,0.195535564305411,0,0,0,0,0,0,0,0,0,0,0
"14","g__Haemophilus",1.0362922376545,0,0,0,0,0,0,0.160421910227063,0,0,0,0.448395186267716,0.751510595685387,0,0,0,0,0,0,0,0.166290047432615,0.133529355550388,0.138689445113431,0,0,0.231308946221652,0,0.320779531697709,0,2.63443404102598,0.162427302020993,0,0.158663444045226,0,0,0,0,0,0,0.49289049619827,0,0,0,0,0,0,0,1.01047260952955,0,0,0.319069033073458,0,0,0,0,0,0.27300130965487,0,0,0,3.04755683631092,0,0,0.142082224774362,0,0,0,0.108030487064802,0,0,0,0,0,0,0,0.249617069298328,0,0,0.601632167604,0,0,0.626548662970274,0.133339487875218,0.130020055676413,0.211971683259511,0,0,0,0,0,0,0,0,0,0,0
"15","g__Tunalikevirus",0.688423844421691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444428839978053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","g__Bilophila",0.431322559670736,0.961456270317573,0,1.4884944729282,0.163543111577416,0.965899799482893,0.961094524920008,0,1.88855076465994,1.24594257228708,0.171872204628174,1.67792229888206,0,0.854139687325249,0.649427466779585,1.50488224810841,0.142648513420642,2.36781003411658,0.149993686862961,1.40683242851493,0,0.298375336016957,0.481619825104802,1.56571972138419,0.606896504576933,0,0.268139644428811,2.705221261496,0.146147879734623,0.382161671295698,0.142563683454742,0.937065232470944,0,1.99788164055996,2.06177881580291,0.397949580649982,0.492640236388544,0.125291140142331,2.45049030328845,0.307838017939952,0,0,0.130679624308617,0,0.611454827230205,0.593190498934761,0.278368205079806,0.143915034012121,0.562722226213492,0.332708115648425,1.64028332845628,0.547120640849879,0.429821688928664,0.556038378064017,0.301160567036732,0.40842227704601,0.456435365965509,0,0.86000052861883,0.449704382221192,0.507259521291162,0.228207542993291,0.356383481881681,0.140027441430113,0,0.849620708456522,1.3738172758336,0.130618406021759,1.19282929417241,0.704771984648352,0,0.769092874553827,0.410050256098235,0.112334713234999,0.257709492764345,0.355090346281279,0.18481295697608,0.106581173624667,0,0.216147559368251,0.978670224698915,0.237484664603239,0.275930857735757,0.770602998502827,0.286577196311558,0.478154006978241,0.413313477307653,0.417104098091419,0,0.41168365276846,1.25469947099049,0.567312481872645,0.411227860896211,0.572867624226333,0.612644415917843,0.315830264283499
"17","g__Lachnospiraceae noname",0.240360086848741,0.99093139586592,0.223667523353211,0.180573504911014,0.370081537218755,0.461911775092775,1.76229678114292,0,0.52607912267804,0,0.165573907006791,1.23489675356938,0,0,4.17409971014271,0.12783506899085,0.395038232290469,0.213742927667988,0.794880887277401,1.53725724623053,0.526811292606862,0.654961689529407,0.401992121344813,0.223357481931387,0.902849911268267,0.268838372131194,0.534326253715171,0.690336149295117,2.57706925187368,0.700329644994912,1.42536541870668,0.305766030601992,0,0,1.9043815201792,0.95923840187809,0.454069358255539,0.826512977811463,0.485746024164165,0.136380370711851,1.93477548456897,0.874003566365815,0.46892221904633,0,0,0.174567777043246,0.528442754545007,0.570299778736921,1.02806527184494,0.635624024154497,0.293935154795923,0.894317324545803,1.24806492796135,0.200644547075966,0.28501579362459,0.691624623983987,1.03388095330659,1.9149030831834,0.924741260679533,0.394187183495445,0.237892213883913,0.326368681807388,0.693105119369889,0.224676457239254,0.859529258081509,0.101064545200486,2.13118864142839,0.40708449497981,0.645152354515033,0,0.571421259373644,0.208986184885751,1.63883599686004,1.12833085486918,0.557372395904107,0.106691166716221,0.698368106828821,0.47135828452514,0.211890596493959,0.20737746438409,0.65482205863245,0.578073798864054,1.80884327392194,0.5069185909404,0.301034149352481,0.352793433185388,0.165250840156911,0.326220725965056,0.568552123288387,1.13127638804639,1.13600190671716,0.155190822510351,0.45956088437669,0,0.316561697689345,0
"18","g__Lactobacillus",0.212538673728457,3.64112832912543,4.69435934263378,0,3.25738533778326,3.99331414847133,4.21645039767277,0.66147146841338,2.74297821442728,0,0.444949111864697,0.63326568993501,25.0963269290525,0,2.00041630738964,0.20087792435814,1.43451375463251,0.123720026066602,0,0.113180137905212,0,0,0,2.83495987557856,0,0,3.20363200106471,1.87660453919743,8.25974324225678,1.98244669572435,0,2.02803609225996,2.36501495735083,0,2.82872467948347,0,0.453114882240266,2.60964006193011,1.54947991856078,0,0,0,0,0,0,3.23837960631582,0,0,0.253878209900748,0.234861062308718,0,0,0,1.08827846656466,3.13209613243881,2.34561342914764,0,0,0,1.60176915476497,0.170861922121252,0,0,0,0,0,0.297409964906247,1.0659389541914,0,0,0,0,0,0,0.263084521828758,0.407328757154599,5.45094452175769,2.5360301426171,1.40624171317706,0.944226732156763,0,1.316833539144,0,0,0,0,0.835552897697611,0.742090431965978,0,0.790667218363469,0,0.494707291297126,0.19280924865023,0,0.460295651476252,0.171594641694381
"19","g__Oscillibacter",0.201206635437248,0.364049477985571,0,2.54607032893521,0.269980400171217,0.186008055143262,0.210117098017211,0,0.405655247526405,0.816952054071838,0.440860743233273,0.492367920156053,0,0.611720802554817,1.29860366159536,0.261864478308629,0.180061884606244,1.81213863145521,0.128469567606039,4.61570878847939,0,0.268833620678158,0.214151635939804,0,0.198756669960176,0,0.618085286628545,3.06504661396756,0.492347924257692,0,0.160627915521317,0.595271018883261,0.380780179367347,0.312579098096561,1.14938758920563,0.457544971591121,0.124785180102089,1.01214028985111,1.53729703323101,0,0,0,2.22718998691198,0.248905672468998,1.24848587658276,0.361003387059415,0,0,0.611025510636155,0.587022032266618,0.277522429462881,1.48679438810227,0.216066711413794,0.251170611085513,0.586448803712652,0,0.364547561306505,0,0.679918383664512,0,0,0.195909751317066,3.28364851530983,0,0.310340715917703,0.767261006864215,1.15573940261669,0.532331995827359,1.35901524137309,0.550673090633768,0.197553587934672,1.42774401634108,1.16697809702917,3.16382982999076,0.107077826193302,0,0.147253934755908,0.6238586249187,0,0,0.904323131970166,0,0.629870533859681,0.642169165419022,0.147754279619775,0.28421565879963,0.551937604635526,0.167626431606298,0,0.32188897235758,0.515635563008079,0.231193395649596,0.215311704766167,0,0.851111200256739,0.767319435501288
"20","g__Coprobacillus",0.197338633033849,0.274749199968061,0,0,0,0.341970282842875,0.122699127208997,0,0,0.664703679906812,0,0,0,0.342992969580493,0.163387081746509,0,0,0,0,0.170116707413123,0,0,0,0,0.238809607396764,0,0,0,0.523980619795713,0.976301208537375,0,0,0,0.158118319649206,0.10793963469139,0.126190173055924,0,0,0,0,0,0.108197632039911,0,0,0.132277967050541,0,0.146649089392088,0,0,0,0,0.14942298672345,0,0,0,0,0,0,0,0,0,0.376686830147825,0,0,0,0,0.163746740784952,1.22773872744885,0.129512227483852,0,0,0,0.335465553178913,0.520366946666131,0,0,0,0,0,0,0,0,0.41183919787588,0,0,0,0,0,0,0,0.289775590965762,0,0,0,0,0
"21","g__Clostridium",0.148434592230452,0.28516756573677,0.801356572523447,0.80339923890822,0.69840481853262,0.366978245188662,6.84310532139664,1.58696856975091,0.56335533346878,0.54970596398413,0.157216357372037,0.344250296059277,0,0.456394302768571,6.21197564189685,0.260686042831799,0.395841094333079,0.583849343548305,3.60921994112912,0.673807992894027,0,0.579262297440951,2.11646291204368,0.60981097814975,0.364316854123261,0,0.628172612467391,1.5967426124653,11.3563287411293,0.156483802814918,4.27919240719212,0.666954610030685,1.20748591714632,0.550359468977268,4.13001650433132,0.37025371385081,0,0.606903802446734,0.570412550122362,0,0.368366767849674,0.191037385203146,1.28065028908981,1.10153314542379,0.684943704642326,0.254846626865173,0.798597968037607,0,0.929582360210456,0.896408828259933,0.596530898974225,0.272239015687253,0.382501501119382,0.19231917251213,0.638626693284016,0,0.594714105566601,0.327079031449876,0.570084254404747,0,0,0,0.290549441103538,0,1.36689912302122,0.357002779350497,8.29398034356079,3.23246171071662,0.919914191123675,0.899740323380737,0.290360549655805,0.975275561719454,0.330045590915902,3.65387243278003,0.269204405108089,0.382115420114586,0.529030111797533,0.557037834354279,0.189587384528952,0.134212694964504,0.474977981203179,0,4.68915884136735,0.794165431571512,0.573274950952853,0.446348801643614,0,0.278992683868472,0,0,1.17107963437975,0,1.07069662395792,0,0.440939906931964,2.16415773434744
