Index,MDS1,MDS2,decade,decade10,samID,age
CON006,0.039608106,0.003925674,41-60,41-60,CON006,52
NOM026,-0.017473629,0.036265711,41-60,41-60,NOM026,52
CON081,-0.023489759,0.077208205,41-60,41-60,CON081,52
MHS234,-0.037104419,0.107348902,41-60,41-60,MHS234,53
MHS267,-0.017936952,0.069796946,41-60,41-60,MHS267,53
CON082,-0.106182201,-0.046404331,41-60,41-60,CON082,53
CON028,-0.108360401,-0.04021691,41-60,41-60,CON028,53
CON039,0.050618496,-0.038763716,41-60,41-60,CON039,53
CON005,-0.04828446,0.020864873,41-60,41-60,CON005,53
CON002,-0.001892181,0.03438316,41-60,41-60,CON002,53
CON022,-0.011446824,0.064572856,41-60,41-60,CON022,53
MHS285,-0.007615594,0.050458767,41-60,41-60,MHS285,54
CON029,-0.031229187,0.086255515,41-60,41-60,CON029,54
CON042,0.043659864,-0.040987902,41-60,41-60,CON042,54
CON045,0.05471887,-0.008011064,41-60,41-60,CON045,54
CON095,-0.010988164,0.043180647,41-60,41-60,CON095,54
NOM008,0.032435679,0.042354704,41-60,41-60,NOM008,54
MHS258,-0.031749577,0.095972966,41-60,41-60,MHS258,55
MHS266,-0.037222286,0.080577431,41-60,41-60,MHS266,55
CON104,-0.02108672,0.050728634,41-60,41-60,CON104,55
CON099,-0.017101785,0.0657222,41-60,41-60,CON099,55
CON089,0.039877576,0.015642352,41-60,41-60,CON089,55
CON007,0.058329723,-0.045564712,41-60,41-60,CON007,55
CON004,0.012039546,0.055772808,41-60,41-60,CON004,55
MBE034,-0.005423732,0.028315068,41-60,41-60,MBE034,56
MHS226,0.017244816,0.011393394,41-60,41-60,MHS226,56
MHS289,-0.008056411,0.038222846,41-60,41-60,MHS289,56
CON041,0.035085906,-0.007029838,41-60,41-60,CON041,56
CON088,0.039289045,0.01640772,41-60,41-60,CON088,56
CON055,0.054156239,0.007738452,41-60,41-60,CON055,56
CON008,0.04697461,0.001588399,41-60,41-60,CON008,56
CON080,0.030252314,0.011146437,41-60,41-60,CON080,56
CON031,-0.046000258,0.083462647,41-60,41-60,CON031,56
MBM137,-0.072812978,0.061499469,41-60,41-60,MBM137,57
MHS229,-0.024948874,0.077145218,41-60,41-60,MHS229,57
WFC024,0.017351699,-0.023927557,41-60,41-60,WFC024,57
CON021,-0.016133791,0.060961159,41-60,41-60,CON021,57
CON097,0.018518517,0.029115151,41-60,41-60,CON097,57
MBE033,-0.059423196,0.065486133,41-60,41-60,MBE033,58
MHS236,0.001978543,0.078868494,41-60,41-60,MHS236,58
MHS249,0.001997384,0.0472665,41-60,41-60,MHS249,58
MHS255,-0.002468297,0.06009691,41-60,41-60,MHS255,58
CON049,0.010138909,0.05911659,41-60,41-60,CON049,58
MBE037,-0.036971708,0.05691519,41-60,41-60,MBE037,59
MBE039,-0.018007041,0.078930758,41-60,41-60,MBE039,59
MHS231,0.025320009,0.024239356,41-60,41-60,MHS231,59
MHS287,-0.003418916,0.042111846,41-60,41-60,MHS287,59
NLF015,0.032264496,-0.00163277,41-60,41-60,NLF015,59
CON096,0.009475867,0.034562496,41-60,41-60,CON096,59
MBE035,-0.030867044,0.100853961,41-60,41-60,MBE035,60
MHS235,-0.017072735,0.061136816,41-60,41-60,MHS235,60
MHS238,-0.018775004,0.066473947,41-60,41-60,MHS238,60
MHS250,0.020865166,-0.008986991,41-60,41-60,MHS250,60
MHS257,-0.012132005,0.038277464,41-60,41-60,MHS257,60
MHS259,-0.007014355,0.08439137,41-60,41-60,MHS259,60
