Index,MDS1,MDS2,decade,decade10,samID,age
MBS1240,0.019419397,-0.006259932,81-100,91-100,MBS1240,91
MBS1234,-0.023900598,-0.026115282,81-100,91-100,MBS1234,91
MBS1531,0.045736342,-0.054395559,81-100,91-100,MBS1531,92
MBS1536,0.032297929,-0.021031366,81-100,91-100,MBS1536,92
MBS1559,0.059059776,-0.067532846,81-100,91-100,MBS1559,92
MBS1467,0.064166699,-0.050041223,81-100,91-100,MBS1467,92
MBS1470,0.043055354,-0.037185371,81-100,91-100,MBS1470,92
MBS1256,0.000772634,-0.008730418,81-100,91-100,MBS1256,92
MBS1555,0.051926801,-0.074440084,81-100,91-100,MBS1555,93
MBS1441,0.040613587,-0.035731032,81-100,91-100,MBS1441,93
MBS1442,-0.021610947,-0.060775755,81-100,91-100,MBS1442,93
MBS1487,-0.040557034,-0.084737249,81-100,91-100,MBS1487,93
MBS1547,0.033669277,0.02694413,81-100,91-100,MBS1547,94
MBS1551,0.040334314,-0.0469437,81-100,91-100,MBS1551,94
MBS1458,0.048004603,-0.033260622,81-100,91-100,MBS1458,94
MBS1484,0.040898499,-0.051128462,81-100,91-100,MBS1484,94
MBS1490,-0.113192059,-0.088986727,81-100,91-100,MBS1490,94
MBS1511,0.024984271,-0.010126429,81-100,91-100,MBS1511,96
MBS1260,0.027031899,-0.064769931,81-100,91-100,MBS1260,96
