org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Megamonas unclassified	1.4009583748931373	0	17.15556988789785	0	0	1.672057856030551	0	0	0	0	0.5203300936498915	0.18326583689542975	0.13559339023466552	0	0	0	0	0	13.944710110524964	0.9398988570022249	1.4423675735307202	0	0	0.2980056482442217	0	0	0	1.0199255901562743	0	0.16437531137648737
Bacteroides ovatus	1.0812473571805992	3.1688700905079434	0.1667353989178201	0	0.30763775240673935	0	1.0657551103227536	0.36978755532639707	23.558919507422203	1.7758927963960294	5.991842000755749	8.841665564952574	49.12041279865446	1.038686331827982	0.6245850993531217	1.292344055724181	1.9709824390229134	0.12793164001508653	0	0.14934668175472926	0.3308033179610198	0	0	0	0.18201568160082873	0	0.7360291653692598	0	0	0
Bilophila unclassified	1.078801027579738	0	0.7808349490238344	0.205294211787656	0.2114832848942876	0.4870857365594732	0.103417354479346	0.23745998162128262	1.120502633550826	1.204669706301924	0.12568462552659507	0.48394773886764303	1.6088584897218519	1.9211242175653818	0.31446219621029003	1.001393144990166	0.8257881856280385	3.167438568885176	0	0	0.14694618827552408	0.2970440203572562	0	0.13129226233698393	0.26731016219042314	1.4552225698646135	2.8179675142074836	0	0.27606855901966765	0
Bacteroides dorei	1.006796045154392	0	0	0.2304359876754813	0.11107794782153538	1.095741800468869	0	0.8270119647612904	30.332143091470954	2.171868961196681	2.441643999083535	0	0	4.909968137372798	0.8314449653731493	2.400871072225933	3.2565171964792277	5.329866532563864	8.995286277357796	0	0.8296823414659397	0.1125814912855037	0	0.3564912160702788	0.1183974663936702	0	0.4787456125203958	0	0	0.32987759369570424
Eubacterium hallii	1.0027525251529688	0	0.5629948607783295	1.6641533305027802	0	0.4067957599153539	0	0	0	0	0	0	0	0	0.26903617018242126	0	0	0.2284276311253685	8.857136345980997	0.5042553769468081	0.61553620042348	1.1631914457749053	0	1.0657279661781198	2.3014084701427713	0	3.817451499768728	0.9142713761494229	0.953757755872693	0.12785536109722703
Klebsiella pneumoniae	0.9727192803423972	0	0.6836649194552504	1.295912139085516	2.9075947792455787	0	0.7990811073511411	11.82241870024894	0	0	0	7.4876201416686214	1.9863711205499999	1.0764165209924157	8.916599899882698	0	0.5692119631980763	0.43060585537174995	0	0	0	0	0	0.16817908757221378	0	0.19276790772173913	0	0.4806958398059303	0	0
Eggerthella unclassified	0.9723856899422798	1.953525439563354	0.17992305035864214	0	0.11058319103185668	0	0	0	0	0	0	0	0	0.8544802011897896	0	0	0	2.9997019186704352	1.5424483508897824	0	0	0	0	0	0.5612082528930101	12.099146317877581	3.32704681539488	0	0	0.24026817441164758
Coprococcus comes	0.9310811331277405	0	0	1.639819322514965	0	2.7577188604464493	0	0	0	0.1415926412264272	0.14185754033272632	0.15059908614081466	0	0	0.1980801308625594	0	0	1.0118847256637884	3.8880858057546304	1.557740423425312	0.8217158057685806	1.3658602226123002	0	1.029502742388886	0	0	0	0.897378428909403	1.2956037608029087	0
Oscillibacter unclassified	0.7412176514609087	0.18704887819488572	0	0.4877908406188108	0.14371170178564793	0.8956227248839768	0	0.19142728739287293	0.11166186543969434	0.9710408373355714	0.14349915198598023	0.10876094518363329	0.14650476346701	1.4082453148299126	0	1.1477588534915475	0.1661403939805638	1.0726162618573507	0	0.5891460013323014	0.34654430283511617	0.2017248235610738	0.12509119336148747	0.1622246745582487	0.32907128162745725	0	0	0	0.15454201528020106	0.27533626122414834
Bacteroides caccae	0.6655633922342783	0	0.2643321475623012	0.13727005750802593	0	0.1677383367480757	0.6381869399590258	2.823830403225179	0	3.2664065645769504	0	2.863467963807629	0	0.3621306617355603	1.8583300721202647	0	1.1363958552683688	0	1.7984589169852534	0	0	0.21093338903327136	0.16765821112512477	0	0	0	0	0	0.9622955405893079	0
Parabacteroides johnsonii	0.5075830657786692	3.9945362885794595	0	0	0	0.19922300482462826	0.47677118583051337	0.13669335282842357	0	0	0.9858384648053155	0	0	0.5261930523276522	0	0	0	0	0	0	0.21114352543063777	0	0	0	0	0	0.5497051360422717	0	0	0
Streptococcus salivarius	0.4911764833728941	0.9018988822863283	0.19740837249242854	0	0	0.17586406932410706	0	0	0	0	0	1.038968690331553	0	0.5283139801209192	0	1.2217611452863775	0.45548863145054	0.36537268277252133	0.16137068504837454	0	0.3687960097765973	0	0.4125804150446084	12.270457378311646	0.2961611090454162	0.5564196144601469	0	2.131614963734249	0.4895233168218796	0
